id A b c
B38602 527.013396365622 0.257029048382673 0.0665154474561093
B38603 518.801991122225 0.232506049793759 0.0545990354018968
B38604 561.065680128827 0.239955249681972 0.310801562157408
B38605 612.075495058145 0.23062206230995 0.467381517367021
B38606 542.597062243485 0.219860653841292 0.114162694418996
B38607 547.86836320572 0.209523979675885 0.0898252467775036
B38608 577.393536582976 0.203271054674389 0.669159083495742
B38609 480.974271156921 0.269200075514778 0.049273249743714
B38610 583.560529057731 0.208158602945498 0.533429653435404
B38611 479.149563707816 0.283850817603797 0.0376408268177672
B38612 506.788384609812 0.248483376256957 0.0577268622225858
B38613 489.345021973991 0.210849562913988 0.0608498331631729
B38614 520.983122749347 0.232922368536164 0.0623445235228701
B38615 587.882545375179 0.240416313100248 0.248601600117702
B38616 494.271984223247 0.247170221833817 0.0566168841004857
B38617 467.210950967383 0.231693449458464 0.0428328014807309
B38618 527.297160343594 0.215367549037619 0.17195974507008
B38619 566.624210823327 0.210370789862386 0.252797159593225
B38620 517.435210668059 0.204425862387591 0.0802866079823885
B38621 558.751117675378 0.190989125450063 0.0885754116510216
B38642 620.412174281631 0.153208634654664 1.23687559591175
B38643 433.847915801267 0.320499821048176 0.0379545215539894
B38644 516.303603998126 0.230256930105434 0.175031461469947
B38645 563.371634438204 0.214111078628063 1.0994822076929
B38646 476.286409384733 0.244511519879819 0.0482233158915194
B38647 557.65496706065 0.231723160437308 0.489511821115587
B38648 510.353370160519 0.181541702343211 0.0662901896104925
B38649 561.52134869444 0.233040960576797 0.4569431472396
B38650 524.561650081776 0.243837941322534 0.110889263554837
B38651 541.38938351686 0.21294767756854 0.0540303039939047
B38652 502.649197716989 0.248271152859239 0.0354077263548543
B38653 525.533877975571 0.214572411003226 0.0371245369719053
B38654 578.324866117978 0.214021442948959 0.239410408902355
B38655 463.506328728911 0.260608951785768 0.0326031258969228
B38656 652.927669007565 0.123072262955796 0.0973237301317207
B38657 562.525135140374 0.221887009726946 0.578628191619187
B38658 454.333220691394 0.315611601842359 0.0289912694906718
B38659 423.53500409163 0.289779402868724 0.0348441217167692
B38660 463.655619985159 0.252858191344343 0.0402528494213638
B38661 497.288474649326 0.210071716526269 0.0540442167169661
